sample_name,sample_id,volume,volume_unit,qubit_concentration,nanodrop_concentration,concentration,concentration_unit,a260_280_ratio,a260_230_ratio,sample_type,priority,status,lab_name,chart_field
JL-147-64,HTSF-064,133.0,μL,2.0,259.7,259.7,ng/μL,1.82,65.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-134,HTSF-134,2.0,μL,236.85,1.83,236.85,ng/μL,66.0,138.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,162.15,μL,1.84,67.0,67.0,ng/μL,140.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
187.35,HTSF-058,1.84,μL,68.0,143.0,143.0,ng/μL,2.0,255.9,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-059,69.0,μL,148.0,2.0,148.0,ng/μL,343.8,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-70,HTSF-070,149.0,μL,2.0,255.75,255.75,ng/μL,1.84,71.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-153,HTSF-153,2.0,μL,429.9,1.84,429.9,ng/μL,72.0,154.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,290.7,μL,1.84,73.0,73.0,ng/μL,157.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
322.7,HTSF-063,1.84,μL,74.0,158.0,158.0,ng/μL,2.0,344.1,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-064,75.0,μL,159.0,2.0,159.0,ng/μL,279.5,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-76,HTSF-076,160.0,μL,2.0,308.3,308.3,ng/μL,1.84,77.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-161,HTSF-161,2.0,μL,325.55,1.84,325.55,ng/μL,78.0,162.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,288.25,μL,1.85,79.0,79.0,ng/μL,165.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
245.2,HTSF-068,1.83,μL,80.0,166.0,166.0,ng/μL,2.0,350.8,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-069,81.0,μL,169.0,2.0,169.0,ng/μL,151.95,1.83,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-82,HTSF-082,170.0,μL,2.0,361.65,361.65,ng/μL,1.85,83.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-171,HTSF-171,2.0,μL,265.05,1.84,265.05,ng/μL,84.0,173.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,420.8,μL,1.84,85.0,85.0,ng/μL,174.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
229.65,HTSF-073,1.84,μL,86.0,176.0,176.0,ng/μL,2.0,236.2,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-074,87.0,μL,179.0,2.0,179.0,ng/μL,194.25,1.84,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-88,HTSF-088,180.0,μL,2.0,186.7,186.7,ng/μL,1.84,89.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-183,HTSF-183,2.0,μL,374.55,1.84,374.55,ng/μL,90.0,186.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-2,HTSF-002,166.3,μL,1.84,91.0,91.0,ng/μL,187.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
332.55,HTSF-078,1.84,μL,92.0,190.0,190.0,ng/μL,2.0,112.7,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-079,93.0,μL,191.0,2.0,191.0,ng/μL,160.85,1.83,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
Sample Name,HTSF-080,50.0,μL,0.0,0.0,0.0,ng/μL,1.8,260.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
/A,HTSF-081,280.0,μL,0.0,0.0,0.0,ng/μL,260.0,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-230,HTSF-230,50.0,μL,94.0,195.0,195.0,ng/μL,2.0,239.4,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
1.84,HTSF-083,95.0,μL,0.0,96.0,96.0,ng/μL,1.8,97.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-98,HTSF-098,99.0,μL,0.0,0.0,0.0,ng/μL,1.8,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
A,HTSF-085,260.0,μL,0.0,280.0,280.0,ng/μL,1.8,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
JL-147-260,HTSF-260,50.0,μL,230.0,0.0,230.0,ng/μL,1.8,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
PromethION Flow Cell,HTSF-087,50.0,μL,600.0,0.0,600.0,ng/μL,1.8,2.0,DNA,normal,submitted,HTSF Lab,HTSF-JL-147
